"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"179","5307","#90JJ0G2V","しんま","147","127","11","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"180","5306","#RVV88JUU","༺࿅ོ⊱M.REZA⊰࿅ོ༻","178","146","11","#JRRGVJR","PERSIAN GULF","MKDWb2BV1gSGTb5mCcOLEsAbn3pj9kcP1zkQnBzWtT0"
"181","5306","#QJPV29G","uskudar1908","149","107","9","#2Q8CY0VL","1453 ISTANBUL","KzIU29xI4JPcMNvnYutkMivV9XgQTZEwFnUY9jRRKtw"
"182","5305","#YJJYPG09","EMIRATES.","155","115","10","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"183","5305","#P8PJUU8","BaD➖BoY","143","138","10","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"184","5305","#VJRJ9U9L","アキノリ","152","133","8","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"185","5304","#RC0LJLCL","SPARTA","176","153","8","#2Q229R08","CLASH of TITANS","UhjPWtyqsgpADGxPsrvORbVxdySMJKauwzON64-6Zwo"
"186","5304","#2Y0L98GRV","rddonedeal","144","76","15","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"187","5304","#L200LRC9","Fearn75","168","117","7","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"188","5304","#JL9QUUUL","NoBuNaGaーKoSo","240","122","10","#P0RJVJVP","GinzaKoso Tokyo","xyAQeEy7043N99BgOqa9knj3cq9fppL_qXBgwsXvU6U"
"189","5303","#9PJ98J9","Ahmed","147","86","8","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
